SL_pAcc_aR,SL_pAcc_aNR,SF_pAcc_aR,SF_pAcc_aNR
0.5279755849440488,0.5385365853658537,0.4778761061946903,0.49025641025641026
0.476,0.5159857904085258,0.494,0.4782608695652174
0.5153374233128835,0.5152151101783841,0.5156555772994129,0.4918815663801337
0.496,0.5009124087591241,0.482,0.49004424778761063
0.5202020202020202,0.49445865302642794,0.4801980198019802,0.4740024183796856
0.48520084566596194,0.5349829351535836,0.4981024667931689,0.47101449275362317
0.48065764023210833,0.4943917169974116,0.505175983436853,0.49702734839476814
0.48521916411824667,0.5078060805258833,0.49067713444553485,0.5095785440613027
0.5278350515463918,0.5080357142857143,0.4980582524271845,0.5045454545454545
0.5158974358974359,0.5113524185587365,0.5307317073170732,0.49442755825734547
0.4927685950413223,0.5383360522022839,0.4844961240310077,0.5167958656330749
0.499496475327291,0.5154061624649859,0.5441906653426017,0.5403659849300323
0.5250501002004008,0.507532956685499,0.5259481037924152,0.5341151385927505
0.49473684210526314,0.5201834862385321,0.54,0.5472527472527473
0.5035750766087844,0.49429657794676807,0.6082272282076395,0.5432489451476793
0.5142276422764228,0.5155004428697962,0.593503937007874,0.5200918484500574
0.5247629083245522,0.49747474747474746,0.6117982873453853,0.5751231527093597
0.5781409601634321,0.548689138576779,0.6170421155729677,0.5525751072961373
0.5747241725175527,0.5682967959527825,0.6590229312063809,0.5675675675675675
0.587203302373581,0.531332744924978,0.7138700290979632,0.6032295271049596
0.6319663512092534,0.5804387568555759,0.7492850333651097,0.6821192052980133
0.6207983193277311,0.5626223091976517,0.7528625954198473,0.656441717791411
0.6780538302277432,0.6111111111111112,0.7504835589941973,0.6653465346534654
0.7028397565922921,0.6211340206185567,0.7800788954635108,0.7356459330143541
0.7409381663113006,0.6695005313496281,0.704331450094162,0.6440037771482531
0.7335271317829457,0.6832706766917294,0.7706611570247934,0.6698717948717948
0.7844739530132788,0.695049504950495,0.7610186092066601,0.6585858585858586
0.8029504741833509,0.6579194001874414,0.7925784966698383,0.6709539121114684
0.7797101449275362,0.7291666666666666,0.7896373056994819,0.7198660714285714
0.7605210420841684,0.6534148827726809,0.7874251497005988,0.7262021589793916
0.8109452736318408,0.6602687140115163,0.785929648241206,0.7150313152400835
0.7184959349593496,0.6268796992481203,0.7992125984251969,0.6688034188034188
0.8093264248704664,0.6626617375231053,0.7903381642512077,0.7113289760348583
0.7852631578947369,0.7548076923076923,0.7923809523809524,0.7520833333333333
0.7709384460141272,0.7335069444444444,0.8206144697720515,0.7429245283018868
0.8056133056133056,0.7402597402597403,0.8362235067437379,0.7367367367367368
0.7826520438683948,0.6634199134199135,0.8004012036108324,0.6933085501858736
0.8142292490118577,0.7244986922406277,0.8036437246963563,0.7514654161781946
0.8156822810590632,0.7402206619859579,0.7642436149312377,0.7427716849451645
0.8285123966942148,0.7586568730325288,0.7839147286821705,0.7526265520534862
0.8210313447927199,0.716890595009597,0.8140454995054401,0.7776617954070981
0.8045186640471512,0.7089241034195163,0.8167006109979633,0.8052434456928839
0.7754279959718026,0.7533401849948612,0.814299900695134,0.7653359298928919
0.7947916666666667,0.724290780141844,0.8086538461538462,0.7706422018348624
0.7922848664688428,0.7607178464606181,0.8351870576339737,0.7813440320962889
0.7917087967644085,0.7146619841966637,0.8239366963402571,0.7839721254355401
0.8188259109311741,0.7349857006673022,0.8211462450592886,0.7739221871713985
0.8351983723296033,0.7730263157894737,0.8141592920353983,0.7869897959183674
0.8136272545090181,0.7732718894009216,0.812375249500998,0.7956284153005464
0.8010416666666667,0.7035856573705179,0.8009615384615385,0.7825503355704698
0.7789046653144016,0.7520288548241659,0.7978303747534516,0.7575757575757576
