SL_pAcc_aR,SL_pAcc_aNR,SF_pAcc_aR,SF_pAcc_aNR
0.5100401606425703,0.4823045267489712,0.4940239043824701,0.489171974522293
0.5015045135406219,0.48894348894348894,0.5014955134596212,0.5353016688061617
0.5073684210526316,0.5,0.5009523809523809,0.5155601659751037
0.4919678714859438,0.4836193447737909,0.5288844621513944,0.5362116991643454
0.49686192468619245,0.4988610478359909,0.5737547892720306,0.5365418894830659
0.524416135881104,0.5086206896551724,0.6427221172022685,0.6404761904761904
0.4950787401574803,0.5103189493433395,0.6880081300813008,0.658458244111349
0.5100200400801603,0.48797517455391776,0.6846307385229541,0.6469760900140648
0.5977249224405378,0.5529531568228105,0.7512100677637947,0.6591355599214146
0.6288343558282209,0.5772495755517827,0.7573385518590998,0.6897810218978102
0.6652849740932643,0.6104033970276008,0.7613526570048309,0.6691871455576559
0.7560483870967742,0.6424418604651163,0.7777777777777778,0.6890495867768595
0.7781124497991968,0.6718296224588577,0.7898406374501992,0.7207859358841778
0.8014705882352942,0.6914344685242518,0.8206106870229007,0.7216294859359845
0.7895812053115424,0.7016361886429259,0.7855044074436827,0.6690946930280958
0.7995910020449898,0.7301587301587301,0.8072407045009785,0.7276641550053822
0.760548523206751,0.7256461232604374,0.8174904942965779,0.7193158953722334
0.7985685071574642,0.6983184965380811,0.7906066536203522,0.717896865520728
0.8094758064516129,0.7032863849765258,0.8194444444444444,0.6973262032085561
0.828335056876939,0.7422867513611615,0.8257502420135527,0.7082405345211581
0.7939011566771819,0.7229862475442044,0.8179218303145853,0.7046843177189409
0.7960042060988434,0.6759082217973231,0.8293612964728313,0.7442348008385744
0.778238341968912,0.7462019660411081,0.7971014492753623,0.681044267877412
0.801829268292683,0.7725204731574158,0.8336614173228346,0.7824639289678136
0.8089647812166488,0.7497683039851715,0.8118532455315146,0.762214983713355
0.7980582524271844,0.7953156822810591,0.8391752577319588,0.7426326129666012
0.8077709611451943,0.7735682819383259,0.8365949119373777,0.761849710982659
0.830168776371308,0.7721021611001965,0.8326996197718631,0.7342158859470469
0.8191489361702128,0.7955010224948875,0.8281573498964804,0.7172211350293543
0.7214428857715431,0.7389255419415646,0.8063872255489022,0.7912673056443025
0.8238805970149253,0.7569913211186113,0.7979899497487437,0.7964693665628245
0.8099593495934959,0.7697228144989339,0.8267716535433071,0.8088512241054614
0.8300518134715026,0.7726465364120781,0.8164251207729468,0.7848970251716247
0.7989473684210526,0.7984293193717278,0.8438095238095238,0.8149882903981265
0.8024193548387096,0.7290145985401459,0.8432539682539683,0.8008849557522124
0.8066528066528067,0.8053475935828877,0.8439306358381503,0.7915492957746478
0.7994041708043694,0.762107051826678,0.8298086606243706,0.7897934386391251
0.8142292490118577,0.7627302275189599,0.8157894736842105,0.7353760445682451
0.824847250509165,0.786,0.8575638506876228,0.791
0.8192148760330579,0.7883008356545961,0.8217054263565892,0.80931744312026
0.8296146044624746,0.7716450216450217,0.8264299802761341,0.8197026022304833
0.8258317025440313,0.7642919964819701,0.8118609406952966,0.7566628041714948
0.797583081570997,0.8032319391634981,0.8351539225422046,0.760548523206751
0.8310740354535975,0.7407776669990029,0.8366954851104706,0.8014042126379137
0.8112648221343873,0.7733333333333333,0.8218623481781376,0.7977142857142857
0.8351870576339737,0.7949167397020158,0.8318496538081108,0.7578579743888242
0.8380566801619433,0.7906764168190128,0.8478260869565217,0.8079470198675497
0.814852492370295,0.769811320754717,0.8230088495575221,0.774468085106383
0.8036072144288577,0.8314285714285714,0.8163672654690619,0.8
0.832810867293626,0.8199052132701422,0.8274209012464045,0.7746031746031746
0.7896341463414634,0.7791666666666667,0.8267716535433071,0.8
0.8326446280991735,0.7970639032815199,0.8449612403100775,0.7992874109263658
0.8356435643564356,0.7771428571428571,0.8232323232323232,0.7821052631578947
0.8270440251572327,0.7825311942959001,0.8269598470363289,0.7574031890660592
0.8289611752360966,0.7619485294117647,0.8328557784145176,0.7675438596491229
0.8146679881070367,0.7563676633444075,0.8203834510595358,0.731996353691887
0.8316430020283976,0.7887323943661971,0.8402366863905325,0.7932405566600398
0.7979274611398963,0.7725918570009931,0.8309178743961353,0.8157099697885196
0.8318318318318318,0.7507507507507507,0.8181818181818182,0.7952047952047953
0.8158730158730159,0.7697368421052632,0.814218009478673,0.8034188034188035
0.8085742771684945,0.775,0.8345035105315948,0.8056818181818182
0.8103975535168195,0.780373831775701,0.8370951913640824,0.7946236559139785
0.8315899581589958,0.8094725511302476,0.8314176245210728,0.7703081232492998
0.8293172690763052,0.8013182674199624,0.8266932270916335,0.7771855010660981
0.8015952143569293,0.7797397769516728,0.8264794383149449,0.8322510822510822
0.8404471544715447,0.7886690647482014,0.8346456692913385,0.7747747747747747
0.8201438848920863,0.7991666666666667,0.8432327166504382,0.7925
0.8210075026795284,0.7822085889570553,0.8284910965323337,0.7309197651663405
0.8386108273748724,0.7995846313603323,0.8481880509304603,0.7299903567984571
0.829004329004329,0.7829698857736241,0.8392193308550185,0.7531340405014465
0.8218884120171673,0.7735229759299781,0.8398876404494382,0.7375690607734806
0.8223140495867769,0.7160493827160493,0.8352713178294574,0.7845828933474129
0.8417786970010341,0.806930693069307,0.8218780251694094,0.7151515151515152
